"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
H53.041,2016,H53.001
H53.042,2016,H53.002
H53.043,2016,H53.003
H53.049,2016,H53.009
H54.0X33,2017,H54.0
H54.0X34,2017,H54.0
H54.0X35,2017,H54.0
H54.0X43,2017,H54.0
H54.0X44,2017,H54.0
H54.0X45,2017,H54.0
H54.0X53,2017,H54.0
H54.0X54,2017,H54.0
H54.0X55,2017,H54.0
H54.1131,2017,H54.11
H54.1132,2017,H54.11
H54.1141,2017,H54.11
H54.1142,2017,H54.11
H54.1151,2017,H54.11
H54.1152,2017,H54.11
H54.1213,2017,H54.12
H54.1214,2017,H54.12
H54.1215,2017,H54.12
H54.1223,2017,H54.12
H54.1224,2017,H54.12
H54.1225,2017,H54.12
H54.2X11,2017,H54.2
H54.2X12,2017,H54.2
H54.2X21,2017,H54.2
H54.2X22,2017,H54.2
H54.413A,2017,H54.41
H54.414A,2017,H54.41
H54.415A,2017,H54.41
H54.42A3,2017,H54.42
H54.42A4,2017,H54.42
H54.42A5,2017,H54.42
H54.511A,2017,H54.51
H54.512A,2017,H54.51
H54.52A1,2017,H54.52
H54.52A2,2017,H54.52
H57.811,2018,H57.8
H57.812,2018,H57.8
H57.813,2018,H57.8
H57.819,2018,H57.8
H57.89,2018,H57.8
H59.331,2016,H59.311
H59.332,2016,H59.312
H59.333,2016,H59.313
H59.339,2016,H59.319
H59.341,2016,H59.321
H59.342,2016,H59.322
H59.343,2016,H59.323
H59.349,2016,H59.329
H59.351,2016,H59.311
H59.352,2016,H59.312
H59.353,2016,H59.313
H59.359,2016,H59.319
H59.361,2016,H59.321
H59.362,2016,H59.322
H59.363,2016,H59.323
H59.369,2016,H59.329
H81.4,2019,H81.41-H81.43; H81.49
H90.A11,2016,H90.2
H90.A12,2016,H90.2
H90.A21,2016,H90.5
H90.A22,2016,H90.5
H90.A31,2016,H90.8
H90.A32,2016,H90.8
H93.A1 ,2016,H93.11
H93.A2 ,2016,H93.12
H93.A3 ,2016,H93.13
H93.A9,2016,H93.19
H95.51,2016,H95.41
H95.52,2016,H95.42
H95.53,2016,H95.41
H95.54,2016,H95.42
I16.0,2016,I10
I16.1,2016,I10
I16.9,2016,I10
I21.9,2017,I21.3
I21.A1,2017,I21.3
I21.A9,2017,I21.3
I26.93,2019,I26.99
I26.94,2019,I26.99
I27.20,2017,I27.2
I27.21,2017,I27.2
I27.22,2017,I27.2
I27.23,2017,I27.2
I27.24,2017,I27.2
I27.29,2017,I27.2
I27.83,2017,I27.89
I48.11,2019,I48.1
I48.19,2019,I48.1
I48.20,2019,I48.2
I48.21,2019,I48.2
I50.810,2017,I50.9
I50.811,2017,I50.9
I50.812,2017,I50.9
I50.813,2017,I50.9
I50.814,2017,I50.9
I50.82,2017,I50.9
I50.83,2017,I50.9
I50.84,2017,I50.9
I50.89,2017,I50.9
I60.2,2016,I60.20-I60.22
I63.013,2016,I63.011 AND I63.012
I63.033,2016,I63.031 AND I63.032
I63.113,2016,I63.111 AND I63.112
I63.133,2016,I63.131 AND I63.132
I63.213,2016,I63.211 AND I63.212
I63.233,2016,I63.231 AND I63.232
I63.313,2016,I63.311 AND I63.312
I63.323,2016,I63.321 AND I63.322
I63.333,2016,I63.331 AND I63.332
I63.413,2016,I63.411 AND I63.412
I63.423,2016,I63.421 AND I63.422
I63.433,2016,I63.431 AND I63.432
I63.513,2016,I63.511 AND I63.512
I63.523,2016,I63.521 AND I63.522
I63.533,2016,I63.531 AND I63.532
I63.543,2016,I63.541 AND I63.542
I63.81,2018,I63.8
I63.89,2018,I63.8
I67.850,2018,I67.89
I67.858,2018,I67.89
I69.010,2016,I69.01
I69.011,2016,I69.01
I69.012,2016,I69.01
I69.013,2016,I69.01
I69.014,2016,I69.01
I69.015,2016,I69.01
I69.018,2016,I69.01
I69.019,2016,I69.01
I69.110,2016,I69.11
I69.111,2016,I69.11
I69.112,2016,I69.11
I69.113,2016,I69.11
I69.114,2016,I69.11
I69.115,2016,I69.11
I69.118,2016,I69.11
I69.119,2016,I69.11
I69.210,2016,I69.21
I69.211,2016,I69.21
I69.212,2016,I69.21
I69.213,2016,I69.21
I69.214,2016,I69.21
I69.215,2016,I69.21
